tconst	averageRating	numVotes
tt3260612	9.2	13352
tt3297776	9.6	23676
tt3316800	9.2	13847
tt3333832	9.0	11256
tt3333834	9.1	11032
tt3333846	9.4	11550
tt3334704	9.5	21083
tt3554580	9.0	14249
tt3689244	9.0	11842
tt3845888	9.2	24984
tt3853924	9.0	10350
tt3853928	9.3	14015
tt3857028	9.0	11848
tt3866650	9.5	13454
tt3866826	9.5	39047
tt3866846	9.0	26022
tt3866850	9.9	88855
tt3866862	9.1	37844
tt3895286	9.5	10282
tt3973198	9.1	50510
tt4006548	9.6	11118
tt4077554	9.4	43031
tt4089754	9.8	11782
tt4128194	9.9	10917
tt4138338	9.7	13351
tt4146568	9.6	11501
tt4202274	9.5	32010
tt4283016	9.1	33150
tt4283028	9.7	64810
tt4283088	9.9	188059
tt4283094	9.9	131066
tt4452400	9.3	13329
tt4575388	9.7	24445
tt4593124	9.0	16376
tt4593134	9.1	16021
tt4593138	9.4	18819
tt4630546	9.5	18702
tt4652838	9.3	13750
tt4719614	9.3	14243
tt4730026	9.5	10754
tt4742876	9.1	51096
tt4776072	9.0	10245
tt4832262	9.6	13661
tt4832268	9.3	10948
tt4832278	9.4	11039
tt5158314	9.2	11095
tt5164772	9.2	35837
tt5218228	9.6	16968
tt5218268	9.3	14434
tt5218332	9.8	25068
tt5220026	9.4	17121
tt5229638	9.7	27555
tt5354160	9.1	21986
tt5491994	9.5	93293
tt5719536	9.7	12152
tt5775840	9.2	42464
tt5775846	9.8	80461
tt5775864	9.0	59067
tt5775874	9.4	58663
tt5807780	9.2	12481
tt5838588	9.6	16421
tt6020808	9.2	14648
tt6020812	9.3	16015
tt6020876	9.4	18002
tt6161168	9.7	20762
tt6223224	9.6	10127
tt6243300	9.0	12354
tt6243308	9.2	15997
tt6290024	9.5	10088
tt6769208	9.3	31738
tt7366338	9.4	508102
tt7446798	9.0	10117
tt7450814	9.6	16177
tt7738784	9.0	11936
tt7911884	9.0	14604
tt7911942	9.3	21566
tt7920978	9.1	27893
tt7927936	9.2	18912
tt7958030	9.5	10666
tt8084176	9.9	19184
tt8162428	9.5	47737
tt8250812	9.2	11541
tt8253126	9.8	10779
tt8266826	9.8	10366
tt8299508	9.4	10408
tt8420184	9.2	70989
tt8482972	9.6	45145
tt8595766	9.2	18878
tt8772218	9.7	11925
tt8772220	9.8	11208
tt8809646	9.0	20555
tt9121534	9.1	19974
tt9121544	9.1	15320
tt9121546	9.3	16223
tt9166672	9.6	42354
tt9166678	9.5	39880
tt9166696	9.9	52036
tt9253866	9.3	30129
tt9432978	9.1	24838
tt9471404	9.7	10062
tt9566030	9.0	14270
tt9898836	9.9	11435
tt9906260	9.9	28294
