tconst	averageRating	numVotes
tt0052520	9.0	69566
tt0068646	9.2	1589382
tt0071075	9.2	21627
tt0071562	9.0	1110497
tt0081846	9.3	35906
tt0084302	9.0	14220
tt0092337	9.0	21423
tt0098769	9.0	13312
tt0103359	9.0	85265
tt0111161	9.3	2302880
tt0141842	9.2	291558
tt0150742	9.3	14442
tt0180825	9.6	10579
tt0185906	9.4	366290
tt0252487	9.3	36594
tt0252488	9.0	21384
tt0253828	9.0	21170
tt0268093	9.1	12679
tt0291337	9.2	12990
tt0296310	9.0	34002
tt0303461	9.0	240794
tt0306414	9.3	278020
tt0314123	9.2	22484
tt0374692	9.4	14374
tt0383385	9.4	34146
tt0397042	9.2	10560
tt0417299	9.2	237666
tt0462271	9.0	11238
tt0468569	9.0	2266480
tt0583433	9.7	11697
tt0795176	9.4	164369
tt0877057	9.0	223517
tt0903747	9.5	1413022
tt0944947	9.3	1723214
tt0959621	9.0	24549
tt0994365	9.7	10497
tt1000252	9.8	18053
tt10023374	9.9	11728
tt10414808	9.0	10724
tt10454726	9.5	10048
tt10454734	9.6	11259
tt10457654	9.5	11485
tt1054728	9.3	18933
tt1073664	9.1	17276
tt1073668	9.2	15949
tt10883092	9.9	12125
tt1094581	9.1	16799
tt1125798	9.0	20167
tt1127708	9.1	10873
tt11989890	9.1	17947
tt1201133	9.1	20109
tt1232247	9.3	16066
tt1232248	9.3	16062
tt1232249	9.3	17335
tt1232255	9.2	16634
tt1232256	9.2	16139
tt12392504	9.6	50098
tt12557688	9.5	10487
tt12557694	9.3	10183
tt12557700	9.6	13452
tt12557704	9.7	17701
tt1282022	9.2	23525
tt1349460	9.4	20515
tt1355642	9.1	112361
tt1444421	9.8	10569
tt1475582	9.1	787882
tt1479962	9.5	22542
tt1480055	9.1	39926
tt1533395	9.1	37481
tt1540125	9.5	17693
tt1568322	9.4	26360
tt1589921	9.2	20292
tt1615552	9.5	18421
tt1615553	9.7	20729
tt1615556	9.3	15410
tt1615944	9.6	19063
tt1648163	9.4	13304
tt1664530	9.1	24638
tt1665071	9.1	27996
tt1683084	9.2	16603
tt1683085	9.6	19536
tt1683086	9.7	22602
tt1683087	9.5	17540
tt1683088	9.9	42256
tt1683095	9.3	15489
tt1712064	9.2	17640
tt1800763	9.1	17935
tt1804264	9.1	11421
tt1804265	9.2	12991
tt1804271	9.3	13762
tt1806234	9.0	23317
tt1814884	9.4	25614
tt1829964	9.1	28276
tt1831164	9.1	87299
tt1837862	9.2	27978
tt1837863	9.2	28483
tt1837864	9.0	26532
tt1839558	9.1	13786
tt1851397	9.5	32844
tt1851398	9.6	37415
tt1877514	9.1	19467
tt1942612	9.5	35179
tt1942614	9.7	34028
tt2006890	9.2	10464
tt2081647	9.3	19537
tt2084342	9.7	40861
tt2085238	9.1	24396
tt2092588	9.0	26257
tt2103188	9.5	48803
tt2112510	9.4	28964
tt2140553	9.7	49366
tt2178784	9.9	89193
tt2178788	9.0	23867
tt2178796	9.2	26621
tt2178798	9.6	31901
tt2178806	9.0	23543
tt2189771	9.0	27950
tt2253602	9.3	12843
tt2301443	9.2	18400
tt2301445	9.6	22640
tt2301447	9.2	19209
tt2301449	9.8	32352
tt2301451	10.0	122161
tt2301453	9.7	32667
tt2301455	9.9	86433
tt2301463	9.7	23901
tt2301465	9.1	16468
tt2301467	9.6	21171
tt2301469	9.6	21778
tt2301471	9.5	21184
tt2356777	9.0	488745
tt2395695	9.3	108809
tt2571774	9.0	13798
tt2592910	9.2	43613
tt2657398	9.0	18404
tt2669746	9.8	11625
tt2779318	9.4	16978
tt2781042	9.0	24739
tt2781046	9.3	27438
tt2790174	9.7	22904
tt2790184	9.2	15302
tt2790196	9.6	16874
tt2790238	9.2	14047
tt2790240	9.3	13711
tt2790254	9.6	19478
tt2816136	9.1	30058
tt2832378	9.7	46992
tt2861424	9.2	360672
tt2948638	9.7	22139
tt2993508	9.7	19222
tt3060782	9.7	47110
tt3060858	9.6	39786
tt3060860	9.7	39121
tt3060876	9.1	26336
tt3060910	9.7	43572
tt3097534	9.4	11713
tt3230908	9.9	15662
